Pfam keyword	Pfam term
NMO	Nitronate monooxygenase
DUF719	Protein of unknown function (DUF719)
DUF718	Domain of unknown function (DUF718)
YuiB	Putative membrane protein
DUF2823	Protein of unknown function (DUF2823)
DUF2356	Conserved protein (DUF2356)
DUF2357	Domain of unknown function (DUF2357)
DUF2826	Protein of unknown function (DUF2826)
DUF2827	Protein of unknown function (DUF2827)
DUF2824	Protein of unknown function (DUF2824)
DUF2353	Uncharacterized coiled-coil protein (DUF2353)
DUF845	Baculovirus protein of unknown function (DUF845)
DUF844	Baculovirus protein of unknown function (DUF844)
DUF2828	Domain of unknown function (DUF2828)
DUF2829	Protein of unknown function (DUF2829) 
DUF2358	Uncharacterized conserved protein (DUF2358)
DUF2359	Uncharacterised conserved protein (DUF2359)
DUF843	Baculovirus protein of unknown function (DUF843)
DUF842	Eukaryotic protein of unknown function (DUF842)
Spy1	Cell cycle regulatory protein
EB1	EB1-like C-terminal motif
Cmc1	Cytochrome c oxidase biogenesis protein Cmc1 like
FliM	Flagellar motor switch protein FliM
ParcG	Parkin co-regulated protein
DUF3199	Protein of unknown function (DUF3199)
DUF3198	Protein of unknown function (DUF3198)
FliL	Flagellar basal body-associated protein FliL
DUF3195	Protein of unknown function (DUF3195)
DUF3194	Protein of unknown function (DUF3194)
DUF3197	Protein of unknown function (DUF3197)
DUF3196	Protein of unknown function (DUF3196)
DUF3192	Protein of unknown function (DUF3192)
DUF1775	Domain of unkown function (DUF1775)
RrnaAD	Ribosomal RNA adenine dimethylase
FliH	Flagellar assembly protein FliH
PIGA	PIGA (GPI anchor biosynthesis)
FliJ	Flagellar FliJ protein
DUF3995	Protein of unknown function (DUF3995)
DUF3994	Domain of unknown function (DUF3994)
DUF3997	Protein of unknown function (DUF3997)
DUF3996	Protein of unknown function (DUF3996)
DUF3991	Protein of unknown function (DUF3991)
DUF3990	Protein of unknown function (DUF3990)
DUF3993	Protein of unknown function (DUF3993)
FliD	Flagellar hook-associated protein 2 C-terminus
DUF3999	Protein of unknown function (DUF3999)
CpXC	CpXC protein
CmcI	Cephalosporin hydroxylase
MepB	MepB protein
EBP	Emopamil binding protein 
FH2	Formin Homology 2 Domain
CHDNT	CHDNT (NUC034) domain
THAP	THAP domain
SpoVIF	Stage VI sporulation protein F
DRP	Dam-replacing family
Utp8	Utp8 family
DUF3829	Protein of unknown function (DUF3829)
DUF3828	Protein of unknown function (DUF3828)
Sars6	Open reading frame 6 from SARS coronavirus
DUF3539	Protein of unknown function (DUF3539)
ATG22	Vacuole effluxer Atg22 like
ATG27	Autophagy-related protein 27
DUF3825	Domain of unknown function (DUF3825)
DUF4178	Domain of unknown function (DUF4178)
DUF4179	Domain of unknown function (DUF4179)
SAP18	Sin3 associated polypeptide p18 (SAP18)
DUF3536	Domain of unknown function (DUF3536)
DUF4172	Domain of unknown function (DUF4172)
DUF4173	Domain of unknown function (DUF4173)
DUF4170	Domain of unknown function (DUF4170)
DUF4171	Domain of unknown function (DUF4171)
DUF4176	Domain of unknown function (DUF4176)
DUF4177	Domain of unknown function (DUF4177)
DUF4174	Domain of unknown function (DUF4174)
DUF4175	Domain of unknown function (DUF4175)
DUF3826	Protein of unknown function (DUF3826)
DUF3821	Domain of unknown function (DUF3821)
RBFA	Ribosome-binding factor A
DUF3823	Protein of unknown function (DUF3823)
DUF3822	Protein of unknown function (DUF3822)
MRJP	Major royal jelly protein
Lipl32	Surface lipoprotein of Spirochaetales order
FdsD	NADH-dependant formate dehydrogenase delta subunit FdsD
DUF2992	Protein of unknown function (DUF2992)
META	META domain
