Pfam keyword	Pfam term
DUF1175	Protein of unknown function (DUF1175)
Nyv1	Vacuolar R-SNARE Nyv1 N terminal
EamA	EamA-like transporter family
HdeA	HdeA/HdeB family
GcpE	GcpE protein
PLATZ	PLATZ transcription factor
DUF1355	Protein of unknown function (DUF1355)
GspH	Type II transport protein GspH
YfhD	YfhD-like protein
DUF1425	Protein of unknown function (DUF1425)
GspL	GspL periplasmic domain
DUF1424	Putative rep protein (DUF1424)
Mtr2	Nuclear pore RNA shuttling protein Mtr2
DUF1351	Protein of unknown function (DUF1351)
DUF1422	Protein of unknown function (DUF1422)
POPLD	POPLD (NUC188) domain
DUF1421	Protein of unknown function (DUF1421)
DUF1420	Protein of unknown function (DUF1420)
AHSA1	Activator of Hsp90 ATPase homolog 1-like protein
P12	Virus attachment protein p12 family
RelB	RelB antitoxin|Antitoxin of toxin-antitoxin stability system N-terminal
DSL	Delta serrate ligand
YrvL	Regulatory protein YrvL
MtrE	Tetrahydromethanopterin S-methyltransferase, subunit E 
MtrD	Tetrahydromethanopterin S-methyltransferase, subunit D 
MtrG	Tetrahydromethanopterin S-methyltransferase, subunit G 
MtrF	Tetrahydromethanopterin S-methyltransferase, F subunit (MtrF)
MtrA	Tetrahydromethanopterin S-methyltransferase, subunit A 
DUF123	Domain of unknown function DUF123
MtrC	Tetrahydromethanopterin S-methyltransferase, subunit C 
MtrB	Tetrahydromethanopterin S-methyltransferase subunit B
MtrH	Tetrahydromethanopterin S-methyltransferase MtrH subunit
DUF128	Domain of unknown function DUF128
DUF1602	Protein of unknown function (DUF1602)
DUF1601	Protein of unknown function (DUF1601)
DUF1600	Protein of unknown function (DUF1600)
DUF1604	Protein of unknown function (DUF1604)
DUF1609	Protein of unknown function (DUF1609)
DUF1608	Protein of unknown function (DUF1608)
DBINO	DNA-binding domain
NodA	Nodulation protein A (NodA)
Med14	Mediator complex subunit MED14
NodS	Nodulation protein S (NodS)
NodZ	Nodulation protein Z (NodZ)
CBP4	CBP4
DUF269	Protein of unknown function, DUF269
DUF268	Caenorhabditis protein of unknown function, DUF268
DUF267	Caenorhabditis protein of unknown function, DUF267
DUF261	Protein of unknown function, DUF261
DUF260	Protein of unknown function DUF260
DUF262	Protein of unknown function DUF262
DUF1931	Domain of unknown function (DUF1931)
DUF1930	Domain of unknown function (DUF1930)
DUF1933	Domain of unknown function (DUF1933)
Fer2	2Fe-2S iron-sulfur cluster binding domain
DUF1935	Domain of unknown function (DUF1935)
DUF1934	Domain of unknown function (DUF1934)
DUF1937	Domain of unknown function (DUF1937)
DUF1936	Domain of unknown function (DUF1936)
DUF1939	Domain of unknown function (DUF1939)
DUF1938	Domain of unknown function (DUF1938)
FerA	FerA (NUC095) domain
BatD	Oxygen tolerance
B12D	NADH-ubiquinone reductase complex 1 MLRQ subunit
BatA	Aerotolerance regulator N-terminal
FerI	FerI (NUC094) domain
DUF740	Protein of unknown function (DUF740)
UcrQ	UcrQ family
TP2	Nuclear transition protein 2
Rad10	Binding domain of DNA repair protein Ercc1 (rad10/Swi10)
PA14	PA14 domain
Lipase3	Lipase 3 N-terminal region
PglZ	PglZ domain
TP1	Nuclear transition protein 1
DUF22	Domain of unknown function DUF22
BNR	BNR/Asp-box repeat
hSac2	Inositol phosphatase 
nec1	Virulence protein nec1
DUF21	Domain of unknown function DUF21
TipAS	TipAS antibiotic-recognition domain
DUF2116	Uncharacterized protein containing a Zn-ribbon (DUF2116)
DUF2117	Uncharacterized protein conserved in archaea (DUF2117)
DUF2114	Uncharacterized protein conserved in archaea (DUF2114)
DUF2115	Uncharacterized protein conserved in archaea (DUF2115)
DUF2112	Uncharacterized protein conserved in archaea (DUF2112)
DUF2113	Uncharacterized protein conserved in archaea (DUF2113)
DUF2110	Uncharacterized protein conserved in archaea (DUF2110)
DUF2111	Uncharacterized protein conserved in archaea (DUF2111)
dNK	Deoxynucleoside kinase
DUF2119	Uncharacterized protein conserved in archaea (DUF2119)
YpM	Yersinia pseudotuberculosis mitogen
YfbU	YfbU domain
YozD	YozD-like protein
DdrB	DdrB-like protein
WTX	WTX protein
WTF	WTF protein
WT1	Wilm's tumour protein
VacA2	Putative vacuolating cytotoxin
DUF3573	Protein of unknown function (DUF3573)
DUF3572	Protein of unknown function (DUF3572)
DUF3571	Protein of unknown function (DUF3571)
DUF3570	Protein of unknown function (DUF3570)
DUF3577	Protein of unknown function (DUF3577)
DUF3576	Domain of unknown function (DUF3576)
DUF3575	Protein of unknown function (DUF3575)
DUF3574	Protein of unknown function (DUF3574)
DUF3579	Protein of unknown function (DUF3579)
DUF3578	Domain of unknown function (DUF3578)
SRR1	SRR1
LdpA	Iron-Sulfur binding protein C terminal
HSBP1	Heat shock factor binding protein 1
RTC	RNA 3'-terminal phosphate cyclase
YecR	YecR-like lipoprotein
YecM	YecM protein
RTP	Replication terminator protein
DUF3799	PDDEXK-like domain of unknown function (DUF3799)
DUF3798	Protein of unknown function (DUF3798)
DUF3797	Domain of unknown function (DUF3797)
DUF3796	Protein of unknown function (DUF3796)
DUF3795	Protein of unknown function (DUF3795)
DUF3794	Domain of unknown function (DUF3794)
DUF3793	Protein of unknown function (DUF3793)
DUF3792	Protein of unknown function (DUF3792)
DUF3791	Protein of unknown function (DUF3791)
DUF4228	Domain of unknown function (DUF4228)
DUF4229	Protein of unknown function (DUF4229)
DUF4226	Domain of unknown function (DUF4226)
DUF4227	Protein of unknown function (DUF4227)
DUF4224	Domain of unknown function (DUF4224)
DUF4225	Protein of unknown function (DUF4225)
DUF4222	Domain of unknown function (DUF4222)
DUF4223	Protein of unknown function (DUF4223)
DUF4220	Domain of unknown function (DUF4220)
DUF4221	Domain of unknown function (DUF4221)
MgpC	MgpC protein precursor
Tim17	Tim17/Tim22/Tim23/Pmp24 family
RALF	Rapid ALkalinization Factor (RALF) 
YyzF	YyzF-like protein
DUF3587	Protein of unknown function (DUF3587)
RHSP	Retrotransposon hot spot protein
DUF2924	Protein of unknown function (DUF2924)
FRG	FRG domain
CrtC	Hydroxyneurosporene synthase (CrtC)
KMP11	Kinetoplastid membrane protein 11
DUF1039	Protein of unknown function (DUF1039)
FRQ	Frequency clock protein
Pax2	Paired-box protein 2 C terminal
DUF1030	Protein of unknown function (DUF1030)
DUF1031	Protein of unknown function (DUF1031)
DUF1032	Protein of unknown function (DUF1032)
DUF1033	Protein of unknown function (DUF1033)
DUF1034	Fn3-like domain (DUF1034)
DUF1035	Protein of unknown function (DUF1035)
DUF1036	Protein of unknown function (DUF1036)
DevR	CRISPR-associated negative auto-regulator DevR/Csa2
DM	DM DNA binding domain
ACCA	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
BRAP2	BRCA1-associated protein 2
DUF1462	Protein of unknown function (DUF1462)
DX	DX module
DUF3583	Protein of unknown function (DUF3583)
PAE	Pectinacetylesterase
DS	Deoxyhypusine synthase
DP	Transcription factor DP
MliC	Membrane-bound lysozyme-inhibitor of c-type lysozyme
GYF	GYF domain
GYD	GYD domain
TGT	Queuine tRNA-ribosyltransferase
DUF1890	Domain of unknown function (DUF1890)
DUF2920	Protein of unknown function (DUF2920)
GYR	GYR motif
DUF1896	Domain of unknown function (DUF1896)
DUF1897	Domain of unknown function (DUF1897)
DUF1894	Domain of unknown function (DUF1894)
DHH	DHH family
COPI	Coatomer (COPI) alpha subunit C-terminus
DHC	Dihaem cytochrome c
DUF1460	Protein of unknown function (DUF1460)
CbtB	Probable cobalt transporter subunit (CbtB)
CbtA	Probable cobalt transporter subunit (CbtA)
DELLA	Transcriptional regulator DELLA protein N terminal
DUF1467	Protein of unknown function (DUF1467)
DoxX	DoxX
SAE2	DNA repair protein endonuclease SAE2/CtIP C-terminus
DoxD	TQO small subunit DoxD
DoxA	TQO small subunit DoxA
PHBC	Poly-beta-hydroxybutyrate polymerase N terminal
D5	D5 N terminal like
DUF2569	Protein of unknown function (DUF2569)
DUF2568	Protein of unknown function (DUF2568)
DUF2567	Protein of unknown function (DUF2567)
DUF2566	Protein of unknown function (DUF2566)
DUF2564	Protein of unknown function (DUF2564)     
DUF2563	Protein of unknown function (DUF2563)
DUF2562	Protein of unknown function (DUF2562)
DUF2561	Protein of unknown function (DUF2561)
DUF2560	Protein of unknown function (DUF2560)
WW	WW domain
MCPVI	Minor capsid protein VI
RIP	Ribosome inactivating protein
DUF748	Domain of Unknown Function (DUF748)
DUF749	Domain of unknown function (DUF749)
DUF742	Protein of unknown function (DUF742)
DUF743	Protein of unknown function (DUF743)
HA2	Helicase associated domain (HA2)
DUF746	Domain of Unknown Function (DUF746)
DUF747	Eukaryotic membrane protein family
GatB	GatB/GatE catalytic domain
DUF745	Protein of unknown function (DUF745)
DUF2309	Uncharacterized protein conserved in bacteria (DUF2309)
DUF29	Domain of unknown function DUF29
Rad17	Rad17 cell cycle checkpoint protein
DUF2303	Uncharacterized conserved protein (DUF2303)
NUC153	NUC153 domain
DUF2301	Uncharacterized integral membrane protein (DUF2301)
DUF2300	Predicted secreted protein (DUF2300)
HAD	haloacid dehalogenase-like hydrolase
DUF2306	Predicted membrane protein (DUF2306)
DUF2305	Uncharacterised conserved protein (DUF2305)
DUF2304	Uncharacterized conserved protein (DUF2304)
HAP	Hydrophobic abundant protein (HAP)        
HAT	HAT (Half-A-TPR) repeat
RAI16	Retinoic acid induced 16-like protein
W2	eIF4-gamma/eIF5/eIF2-epsilon
GidB	rRNA small subunit methyltransferase G
YqhR	Conserved membrane protein YqhR
HELP	HELP motif
YqhG	Bacterial protein YqhG of unknown function
DUF3969	Protein of unknown function (DUF3969)
DUF3964	Protein of unknown function (DUF3964)
DUF3965	Protein of unknown function (DUF3965)
DUF3966	Protein of unknown function (DUF3966)
DUF3967	Protein of unknown function (DUF3967)
DUF3960	Domain of unknown function (DUF3960)
DUF3961	Domain of unknown function (DUF3961)
DUF3962	Protein of unknown function (DUF3962)
DUF3963	Protein of unknown function (DUF3963)
DUF812	Protein of unknown function (DUF812)
DUF810	Protein of unknown function (DUF810)
DUF816	Baculovirus protein of unknown function (DUF816)
DUF817	Protein of unknown function (DUF817)
DUF814	Domain of unknown function (DUF814)
DUF815	Protein of unknown function (DUF815)
DUF818	Chlamydia CHLPS protein (DUF818)
DUF819	Protein of unknown function (DUF819)
Sec66	Preprotein translocase subunit Sec66
Sec62	Translocation protein Sec62
Sec63	Sec63 Brl domain
ATG11	Autophagy-related protein 11
ATG13	Autophagy-related protein 13
ATG16	Autophagy protein 16 (ATG16)
DLIC	Dynein light intermediate chain (DLIC)
NolV	Nodulation protein NolV
UvsY	Recombination, repair and ssDNA binding protein UvsY
UvsW	ATP-dependant DNA helicase UvsW
Erf4	Golgin subfamily A member 7/ERF4 family
SurA	SurA N-terminal domain
Rpp20	Rpp20 subunit of nuclear RNase MRP and P
ROK	ROK family
YpzG	YpzG-like protein
DUF2198	Uncharacterized protein conserved in bacteria (DUF2198)
SeqA	SeqA protein
YpzI	YpzI-like protein
DUF2196	Uncharacterized conserved protein (DUF2196)
CASP	CASP C terminal
DUF2625	Protein of unknown function DUF2625
P30	Mycoplasma P30 protein
DUF2194	Uncharacterized protein conserved in bacteria (DUF2194)
P35	Apoptosis preventing protein
DUF2627	Protein of unknown function (DUF2627)
DAP10	DAP10 membrane protein
P3A	Poliovirus 3A protein like
DUF2621	Protein of unknown function (DUF2621)
CAP160	CAP160 repeat
DUF2190	Uncharacterized conserved protein (DUF2190)
PDGLE	PDGLE domain
DUF2191	Uncharacterized protein conserved in bacteria (DUF2191)
SAP	SAP domain
DUF104	Protein of unknown function DUF104
DUF106	Integral membrane protein DUF106
DUF108	Domain of unknown function DUF108
ERp29	Endoplasmic reticulum protein ERp29, C-terminal domain|ERp29, N-terminal domain
IL12	Interleukin-12 alpha subunit
IL13	Interleukin-13
IL15	Interleukin 15
IL17	Interleukin-17
DUF1629	Protein of unknown function (DUF1629)
DUF1628	Protein of unknown function (DUF1628)
DUF1625	Protein of unknown function (DUF1625)
DUF1624	Protein of unknown function (DUF1624)
DUF1627	Protein of unknown function (DUF1627)
DUF1626	Protein of unknown function (DUF1626)
DUF1620	Protein of unknown function (DUF1620)
DUF1623	Protein of unknown function (DUF1623)
DUF1622	Protein of unknown function (DUF1622)
DUF247	Plant protein of unknown function
DUF244	Uncharacterized protein family (ORF7) DUF
DUF243	Domain of unknown function (DUF243)
DUF241	Arabidopsis protein of unknown function
DUF240	MG032/MG096/MG288 family 2
HSNSD	heparan sulfate-N-deacetylase
DUF249	Multigene family 530 protein
WWE	WWE domain
DUF1489	Protein of unknown function (DUF1489)
DUF1488	Protein of unknown function (DUF1488)
DUF1959	Domain of unknown function (DUF1959)
DUF1958	Domain of unknown function (DUF1958)
gpUL132	Glycoprotein UL132
DUF1481	Protein of unknown function (DUF1481)
DUF1480	Protein of unknown function (DUF1480)
DUF1951	Domain of unknown function (DUF1951)
DUF1482	Protein of unknown function (DUF1482)
DUF1485	Protein of unknown function (DUF1485)
DUF1484	Protein of unknown function (DUF1484)
DUF1487	Protein of unknown function (DUF1487)
DUF3789	Protein of unknown function (DUF3789)
Pmp3	Proteolipid membrane potential modulator
Med18	Med18 protein
MCM2	Mini-chromosome maintenance protein 2
DUF3785	Protein of unknown function (DUF3785)
YABBY	YABBY protein
RHIM	RIP homotypic interaction motif
TA0956	Thermoplasma acidophilum protein TA0956
KRTAP	Keratin-associated matrix
HxlR	HxlR-like helix-turn-helix
DUF457	Predicted membrane-bound metal-dependent hydrolase (DUF457)
Cren7	Chromatin protein Cren7
SurE	Survival protein SurE
CoiA	Competence protein CoiA-like family
M157	MHC class I-like protein M157
DUF458	Protein of unknown function (DUF458) 
SPDY	Domain of unknown function (DUF317)
DUF459	Protein of unknown function (DUF459)
HisK	Histidine kinase N terminal
Inp1	Inheritance of peroxisomes protein 1
VirC2	VirC2 protein
PMSR	Peptide methionine sulfoxide reductase
LRRNT	Leucine rich repeat N-terminal domain
BAMBI	BMP and activin membrane-bound inhibitor (BAMBI) N-terminal domain
DUF2170	Uncharacterized protein conserved in bacteria (DUF2170)
DUF2171	Uncharacterized protein conserved in bacteria (DUF2171)
DUF2172	Domain of unknown function (DUF2172)
DUF2173	Uncharacterized conserved protein (DUF2173)
DUF2175	Uncharacterized protein conserved in archaea (DUF2175)
DUF2177	Predicted membrane protein (DUF2177)
DUF2178	Predicted membrane protein (DUF2178)
DUF2179	Uncharacterized protein conserved in bacteria (DUF2179)
Rad33	Rad33
YhzD	YhzD-like protein
Vps53	Vps53-like, N-terminal 
Csm1	Chromosome segregation protein Csm1/Pcs1
LtrA	Bacterial low temperature requirement A protein (LtrA)
VDE	Violaxanthin de-epoxidase (VDE)
DBF	DBF zinc finger
DUF2794	Protein of unknown function (DUF2794)
DUF2795	Protein of unknown function (DUF2795)
DUF2796	Protein of unknown function (DUF2796)
DUF2797	Protein of unknown function (DUF2797)
DUF2790	Protein of unknown function (DUF2790)
DUF2791	P-loop Domain of unknown function (DUF2791)
DUF2793	Protein of unknown function (DUF2793)
DUF2798	Protein of unknown function (DUF2798)
DUF2799	Protein of unknown function (DUF2799)
CHORD	CHORD 
CDC27	DNA polymerase subunit Cdc27
CDC24	CDC24 Calponin
TNF	TNF(Tumour Necrosis Factor) family 
DUF3558	Protein of unknown function (DUF3558)
DUF3228	Protein of unknown function (DUF3228)
DUF3227	Protein of unknown function (DUF3227)
DUF3226	Protein of unknown function (DUF3226)
DUF3225	Protein of unknown function (DUF3225)
DUF3224	Protein of unknown function (DUF3224)
DUF3223	Protein of unknown function (DUF3223)
DUF3222	Protein of unknown function (DUF3222)
DUF3221	Protein of unknown function (DUF3221)
DUF3220	Protein of unknown function (DUF3120)
PUCC	PUCC protein
DUF4028	Protein of unknown function (DUF4028)
DUF4029	Protein of unknown function (DUF4029)
DUF4024	Protein of unknown function (DUF4024)
DUF4025	Protein of unknown function (DUF4025)
DUF4026	Protein of unknown function (DUF4026)
DUF4027	Protein of unknown function (DUF4027)
DUF4020	Domain of unknown function (DUF4020)
DUF4021	Protein of unknown function (DUF4021)
DUF4022	Protein of unknown function (DUF4022)
DUF4023	Protein of unknown function (DUF4023)
RBM1CTR	RBM1CTR (NUC064) family
RRM	Putative RRM domain  
Mgr1	Mgr1-like, i-AAA protease complex subunit
RRF	Ribosome recycling factor
MCRS	N-terminal region of micro-spherule protein
LPP20	LPP20 lipoprotein
DUF4248	Domain of unknown function (DUF4248)
DUF4249	Domain of unknown function (DUF4249)
Ish1	Putative stress-responsive nuclear envelope protein
DUF4240	Protein of unknown function (DUF4240)
DUF4241	Protein of unknown function (DUF4241)
DUF4242	Protein of unknown function (DUF4242)
DUF4243	Protein of unknown function (DUF4243)
DUF4244	Protein of unknown function (DUF4244)
DUF4245	Protein of unknown function (DUF4245)
DUF4246	Protein of unknown function (DUF4246)
DUF4247	Domain of unknown function (DUF4247)
MgrB	MgrB protein
ZU5	ZU5 domain
PCAF	PCAF (P300/CBP-associated factor) N-terminal domain
VPEP	PEP-CTERM motif
Det1	De-etiolated protein 1 Det1
Ndufs5	NADH:ubiquinone oxidoreductase, NDUFS5-15kDa
COMP	Cartilage oligomeric matrix protein
PXB	PX-associated
PXA	PXA domain
DUF1012	Protein of unknown function (DUF1012)
DUF1013	Protein of unknown function (DUF1013)
DUF1546	Protein of unknown function (DUF1546)
DUF1547	Domain of Unknown Function (DUF1547)
DUF1016	Protein of unknown function (DUF1016)
DUF1541	Protein of unknown function (DUF1541)
DUF1542	Domain of Unknown Function (DUF1542)
DUF1543	Domain of Unknown Function (DUF1543)
FPL	Uncharacterised conserved protein
DUF1018	Protein of unknown function (DUF1018)
DUF1019	Protein of unknown function (DUF1019)
DUF1548	Domain of Unknown Function (DUF1548)
CFEM	CFEM domain
US2	US2 family
SIS	SIS domain
SIP	Siderophore-interacting protein
CAP18	LPS binding domain of CAP18 (C terminal)
SIC	sic protein
SID	Septation initiation
SIM	Single-minded protein C-terminus
TAP	TAP C-terminal domain
TAZ	TAZ zinc finger
TAF	TATA box binding protein associated factor (TAF)
TAN	Telomere-length maintenance and DNA damage repair
HCaRG	HCaRG protein
Cdd1	Pathogenicity locus
Saw1	Single strand annealing-weakened 1
RinB	Transcriptional activator RinB
Romo1	Reactive mitochondrial oxygen species modulator 1
IL10	Interleukin 10
POP1	Ribonucleases P/MRP protein subunit POP1
IL11	Interleukin 11
DUF2099	Uncharacterized protein conserved in archaea (DUF2099)
DUF2098	Uncharacterized protein conserved in archaea (DUF2098)
DUF2541	Protein of unknown function (DUF2541)
DUF2092	Predicted periplasmic protein (DUF2092)
DUF2543	Protein of unknown function (DUF2543)
DUF2090	Uncharacterized protein conserved in bacteria (DUF2090)
DUF2545	Protein of unknown function (DUF2545)   
DUF2096	Uncharacterized protein conserved in archaea (DUF2096)
DUF2547	Protein of unknown function (DUF2547)
DUF2094	Uncharacterized protein conserved in bacteria (DUF2094)
NKWYS	Putative capsular polysaccharide synthesis protein
YMF19	Plant ATP synthase F0
HC2	Histone H1-like nucleoprotein HC2|Putative zinc-finger
DUF765	Circovirus protein of unknown function (DUF765)
DUF766	Protein of unknown function (DUF766)
DUF760	Protein of unknown function (DUF760)
DUF761	Cotton fibre expressed protein
DUF762	Coxiella burnetii protein of unknown function (DUF762)
DUF763	Protein of unknown function (DUF763)
DUF768	Protein of unknown function (DUF768)
DUF769	Xylella fastidiosa protein of unknown function (DUF769)
Urm1	Urm1 (Ubiquitin related modifier)
Gene66	Gene 66 (IR5) protein
TIM21	TIM21
KBP	KIF-1 binding protein C terminal
NigD	NigD-like protein
RsbRD	RsbT co-antagonist protein rsbRD N-terminal domain
HCR	Alpha helical coiled-coil rod protein (HCR)
GCM	GCM motif protein
TMPIT	TMPIT-like protein
TRCF	TRCF domain
AmoC	Ammonia monooxygenase/methane monooxygenase, subunit C
AmoA	Putative ammonia monooxygenase
UPF0154	Uncharacterised protein family (UPF0154)
DUF3946	Protein of unknown function (DUF3946)
DUF3947	Protein of unknown function (DUF3947)
DUF3944	Domain of unknown function (DUF3944)
DUF3945	Protein of unknown function (DUF3945)
DUF3942	Protein of unknown function (DUF3942)
DUF3943	Domain of unknown function (DUF3943)
DUF3940	Protein of unknown function (DUF3940)
DIM	DIM protein
YqfQ	YqfQ-like protein
DUF3948	Protein of unknown function (DUF3948)
DUF3949	Protein of unknown function (DUF3949)
DUF1554	Protein of unknown function (DUF1554)
YqfD	Putative stage IV sporulation protein YqfD
GUN4	GUN4-like 
DUF2996	Protein of unknown function (DUF2996)
DUF1551	Protein of unknown function (DUF1551)
DUF2997	Protein of unknown function (DUF2997)
DUF2893	Protein of unknwon function (DUF2893)
DUF2892	Protein of unknown function (DUF2892)
DUF2891	Protein of unknown function (DUF2891)
DUF2890	Protein of unknown function (DUF2890)
DUF2897	Protein of unknown function (DUF2897)
DUF2320	Uncharacterized protein conserved in bacteria (DUF2320)
DUF2895	Protein of unknown function (DUF2895)
DUF2322	Uncharacterized protein conserved in bacteria (DUF2322)
DUF834	Domain of unknown function (DUF834)
DUF835	Protein of unknown function (DUF835)
DUF836	Glutaredoxin-like domain (DUF836)
DUF837	Protein of unknown function (DUF837)
DUF830	Orthopoxvirus protein of unknown function (DUF830)
DUF2328	Uncharacterized protein conserved in bacteria (DUF2328)
DUF832	Herpesvirus protein of unknown function (DUF832)
DUF2993	Protein of unknown function (DUF2993)
DUF3054	Protein of unknown function (DUF3054)
DUF3055	Protein of unknown function (DUF3055)
DUF3050	Protein of unknown function (DUF3050)
DUF3051	Protein of unknown function (DUF3051)
DUF3052	Protein of unknown function (DUF3052)
DUF3053	Protein of unknown function (DUF3053)
PhnA	PhnA protein
TIMP	Tissue inhibitor of metalloproteinase
FMO	Flavin-binding monooxygenase-like
LTD	Lamin Tail Domain
DUF2016	Domain of unknown function (DUF2016)
SelP	Selenoprotein P, C terminal region|Selenoprotein P, N terminal region
NESP55	Neuroendocrine-specific golgi protein P55 (NESP55)
Cor1	Cor1/Xlr/Xmr conserved region
PhnI	Bacterial phosphonate metabolism protein (PhnI)
AHSP	Alpha-haemoglobin stabilising protein
HemN	HemN C-terminal domain
UreD	UreD urease accessory protein
IcmL	Macrophage killing protein with similarity to conjugation protein
Nnf1	Nnf1 
HemX	HemX
HemY	HemY protein N-terminus
HemS	Haemin-degrading HemS.ChuX domain
Chlorophyllase2	Chlorophyllase enzyme
MEDS	MEDS: MEthanogen/methylotroph, DcmR Sensory domain
PP2C	Protein phosphatase 2C|Protein serine/threonine phosphatase 2C, C-terminal domain
Uma2	Putative restriction endonuclease
LytR	LytR cell envelope-related transcriptional attenuator
FdtA	WxcM-like, C-terminal 
DUF848	Gammaherpesvirus protein of unknown function (DUF848)
PP28	Casein kinase substrate phosphoprotein PP28
AHS2	Allophanate hydrolase subunit 2
DUF169	Uncharacterised ArCR, COG2043
DUF162	Uncharacterised ACR, YkgG family COG1556
DUF161	Uncharacterized BCR, YitT family COG1284
DUF167	Uncharacterised ACR, YggU family COG1872
DUF164	Putative zinc ribbon domain
DUF165	Uncharacterized ACR, YhhQ family COG1738
LisH	LisH
DUF674	Protein of unknown function (DUF674)
Cid2	Caffeine-induced death protein 2
COX17	Cytochrome C oxidase copper chaperone (COX17)
PfkB	pfkB family carbohydrate kinase
CDK2AP	Cyclin-dependent kinase 2-associated protein
Mdv1	Mitochondrial division protein 1
DUF221	Domain of unknown function DUF221
DUF220	Domain of unknown function DUF220
DUF223	Domain of unknown function DUF223
DUF222	Domain of unknown function (DUF222)
DUF226	Borrelia family of unknown function DUF226
DUF229	Protein of unknown function (DUF229)
DUF228	Lyme disease proteins of unknown function
DUF1975	Domain of unknown function (DUF1975)
DUF1974	Domain of unknown function (DUF1974)
DUF1977	Domain of unknown function (DUF1977)
DUF1971	Domain of unknown function (DUF1971)
DUF1970	Domain of unknown function (DUF1970)
DUF1973	Domain of unknown function (DUF1973)
DUF1972	Domain of unknown function (DUF1972)
U1snRNP70	U1 small nuclear ribonucleoprotein of 70kDa MW N terminal
DUF1979	Domain of unknown function (DUF1979)
DUF1978	Domain of unknown function (DUF1978)
DDHD	DDHD domain
DUF2721	Protein of unknown function (DUF2721)
DUF2723	Protein of unknown function (DUF2723)
LacI	Bacterial regulatory proteins, lacI family
DUF2724	Protein of unknown function (DUF2724)
DisA	DisA bacterial checkpoint controller nucleotide-binding
DUF599	Protein of unknown function, DUF599
DUF1952	Domain of unknown function (DUF1952)
DUF592	Protein of unknown function (DUF592)
DUF591	Protein of unknown function
DUF596	Protein of unknown function, DUF596
DUF594	Protein of unknown function, DUF594
DUF1950	Domain of unknown function(DUF1950)
KdgT	2-keto-3-deoxygluconate permease
DUF1957	Domain of unknown function (DUF1957)
DUF1956	Domain of unknown function (DUF1956)
KdgM	Oligogalacturonate-specific porin protein (KdgM)
DUF1955	Domain of unknown function (DUF1955)
YbjN	Putative bacterial sensory transduction regulator
YbjM	Putative inner membrane protein of Enterobacteriaceae
DUF1954	Domain of unknown function (DUF1954)
DUF846	Eukaryotic protein of unknown function (DUF846)
Fn3	Fibronectin type III-like domain
XLF	XLF (XRCC4-like factor)
DUF1207	Protein of unknown function (DUF1207)
DUF1206	Domain of Unknown Function (DUF1206)
FlaG	FlaG protein
FlaF	Flagellar protein FlaF
FlaA	Flagellar filament outer layer protein Flaa
DUF1202	Protein of unknown function (DUF1202)
DUF1201	Protein of unknown function (DUF1201)
DUF1200	Domain of unknown function (DUF1200)
VirE1	Single-strand DNA-binding protein
VirE3	VirE3
IGPS	Indole-3-glycerol phosphate synthase
DENN	DENN (AEX-3) domain
E7	E7 protein, Early protein
E6	Early Protein (E6)
COX6A	Cytochrome c oxidase subunit VIa
GATA	GATA zinc finger
COX6C	Cytochrome c oxidase subunit VIc
E2	Bacteriophage E2-like protein
PorB	Alpha helical Porin B
DUF89	Protein of unknown function DUF89
EB	EB module
TrmB	Sugar-specific transcriptional regulator TrmB
TrmE	GTP-binding protein TrmE N-terminus
HSP20	Hsp20/alpha crystallin family
ET	ET module
ER	Enhancer of rudimentary
YtkA	YtkA-like
DUF2158	Uncharacterized small protein (DUF2158)
AMIN	AMIN domain
PLA2G12	Group XII secretory phospholipase A2 precursor (PLA2G12)
DUF2152	Uncharacterized conserved protein (DUF2152)
DUF2153	Uncharacterized protein conserved in archaea (DUF2153)
DUF2150	Uncharacterized protein conserved in archaea (DUF2150)
DUF2151	Cell cycle and development regulator
DUF2156	Uncharacterized conserved protein (DUF2156)
DUF2157	Predicted membrane protein (DUF2157)
DUF2154	Cell wall-active antibiotics response protein (DUF2154)
DUF2155	Uncharacterized protein conserved in bacteria (DUF2155)
ISN1	IMP-specific 5'-nucleotidase
Mcm10	Mcm10 replication factor
UPF0193	Uncharacterised protein family (UPF0193)
THUMP	THUMP domain
UPF0197	Uncharacterised protein family (UPF0197)
TRADD	TRADD, N-terminal domain
WPP	WPP domain
X8	X8 domain
DUF929	Domain of unknown function (DUF929)
XH	XH domain
DBC1	DBC1
XS	XS domain|XS zinc finger domain
Rsc14	RSC complex, Rsc14/Ldb7 subunit
DUF3209	Protein of unknown function (DUF3209)
DUF3208	Protein of unknown function (DUF3208)
DUF3201	Protein of unknown function (DUF3201)
DUF3203	Protein of unknown function (DUF3203)
DUF3202	Protein of unknown function (DUF3202)   
DUF3204	Protein of unknown function (DUF3204)
OspD	Borrelia outer surface protein D (OspD)
DUF3206	Protein of unknown function (DUF3206)
CCHC	Zinc knuckle
CCHH	Zinc-finger (CX5CX6HX5H) motif
AraC	AraC-type transcriptional regulator N-terminus
Upf2	Up-frameshift suppressor 2 
GlutR	Glutamyl-tRNAGlu reductase, N-terminal domain
RPT	A repeated domain in UCH-protein
RPA	Replication initiator protein A|Replication protein A C terminal
DUF922	Bacterial protein of unknown function (DUF922)
NODP	NOTCH protein
MgtC	MgtC family
